"","mode1","mode2","kapr_pooled_sd","kapr_cohen_d","kapr_mean.x","kapr_sd.x","N.x","kapr_ci95.x","kapr_mean.y","kapr_sd.y","N.y","kapr_ci95.y"
"1","Fully open","No meter",3.738403324225,2.10096097611013,0,0,22,0,7.85423949715712,5.22647697622748,24,2.09102628487974
"2","Fully open","Unlimited meter",2.79186519305515,1.90894564494837,0,0,22,0,5.32951890156557,3.78707020154035,26,1.45570291998923
"3","Fully open","High limit",5.2263743758303,1.50514906855296,0,0,22,0,7.86647252369004,7.08939912644629,26,2.7250772919761
"4","Fully open","Low limit",1.51484979430225,2.12674087906015,0,0,22,0,3.22169298317846,2.1178366499567,24,0.847311127990006
"5","No meter","Unlimited meter",4.51828642111441,-0.558778342115116,7.85423949715712,5.22647697622748,24,2.09102628487974,5.32951890156557,3.78707020154035,26,1.45570291998923
"6","No meter","High limit",6.28649828817254,0.00194592060192467,7.85423949715712,5.22647697622748,24,2.09102628487974,7.86647252369004,7.08939912644629,26,2.7250772919761
"7","No meter","Low limit",3.98756151419234,-1.16174922881834,7.85423949715712,5.22647697622748,24,2.09102628487974,3.22169298317846,2.1178366499567,24,0.847311127990006
"8","Unlimited meter","High limit",5.68337402805113,0.446381605293433,5.32951890156557,3.78707020154035,26,1.45570291998923,7.86647252369004,7.08939912644629,26,2.7250772919761
"9","Unlimited meter","Low limit",3.11899678175009,-0.6758025307113,5.32951890156557,3.78707020154035,26,1.45570291998923,3.22169298317846,2.1178366499567,24,0.847311127990006
"10","High limit","Low limit",5.3696638133627,-0.865003788310321,7.86647252369004,7.08939912644629,26,2.7250772919761,3.22169298317846,2.1178366499567,24,0.847311127990006
