"","mode1","mode2","duration_cohen_d","duration_cohen_d_low","duration_cohen_d_high"
"1","Fully open","No meter",-0.0687929229910093,-0.650612884371473,0.505998034872144
"2","Fully open","Unlimited meter",-0.412227343703065,-1.01625030098426,0.151661679264836
"3","Fully open","High limit",-0.712503068688361,-1.34380460462512,-0.150261253831157
"4","Fully open","Low limit",-0.121120838952028,-0.70601650328696,0.451400986446027
"5","No meter","Unlimited meter",-0.347355858503195,-0.944763223479451,0.217663643359581
"6","No meter","High limit",-0.644747405276096,-1.26666946959414,-0.0827139083629775
"7","No meter","Low limit",-0.0593025608112689,-0.639736653034329,0.515344424462103
"8","Unlimited meter","High limit",-0.272016355616783,-0.862967340211703,0.294601255016418
"9","Unlimited meter","Low limit",-0.260122926135283,-0.851518297482261,0.30700102084593
"10","High limit","Low limit",-0.52542185610017,-1.13677469036559,0.0370397319138094
