"","mode1","mode2","error_cohen_d","error_cohen_d_low","error_cohen_d_high"
"1","Fully open","No meter",-0.225881568904306,-0.817595168596326,0.342768162121035
"2","Fully open","Unlimited meter",-0.0643828599198499,-0.6450891598187,0.510040622797869
"3","Fully open","High limit",-0.358837036703295,-0.958690197046639,0.206060339071462
"4","Fully open","Low limit",-0.440628521453414,-1.04902381148119,0.122869252307998
"5","No meter","Unlimited meter",-0.175547991455924,-0.761639463348674,0.394155343633095
"6","No meter","High limit",-0.541336631591772,-1.15404318354311,0.02100877103189
"7","No meter","Low limit",-0.213730992817139,-0.80332579197799,0.355019137413892
"8","Unlimited meter","High limit",-0.428938827152497,-1.03076132197136,0.134566707409068
"9","Unlimited meter","Low limit",-0.401428173502585,-1.00283488570247,0.162569031445953
"10","High limit","Low limit",-0.735596841369798,-1.36620401048286,-0.173211606145413
