"","mode1","mode2","kapr_cohen_d","kapr_cohen_d_low","kapr_cohen_d_high"
"1","Fully open","No meter",-2.04286970334036,-2.87170496302966,-1.41446274108146
"2","Fully open","Unlimited meter",-1.8776228201058,-2.66729210230619,-1.26484937217347
"3","Fully open","High limit",-1.48045191661414,-2.20798931195616,-0.893863443871868
"4","Fully open","Low limit",-2.06793679563312,-2.90126848135268,-1.43736154540252
"5","No meter","Unlimited meter",-0.54806750342188,-1.16135180721397,0.0142342619676347
"6","No meter","High limit",-0.00192152058177714,-0.57876708255429,0.574744583842272
"7","No meter","Low limit",-1.14268673340284,-1.82360073476294,-0.571505732792296
"8","Unlimited meter","High limit",-0.439646573874566,-1.04227192561454,0.12370991315651
"9","Unlimited meter","Low limit",-0.668944572885382,-1.29312664898393,-0.106874110320492
"10","High limit","Low limit",-0.858994917361861,-1.50225515334994,-0.295215043765299
