u_id,section,page,page_score,attention
5,1,1,0.8,1
5,1,2,1,1
5,1,3,1,1
5,1,4,0.4,1
5,1,5,1,1
5,1,6,0.8,1
5,2,1,1,1
5,2,2,0.8,1
5,2,3,0.6,1
5,2,4,0.8,1
5,2,5,0.8,1
5,2,6,0.6,1
5,3,1,1,1
5,3,2,0.8,1
5,3,3,0.8,1
5,3,4,1,1
5,3,5,1,1
5,3,6,1,1
5,4,1,1,1
5,4,2,0.6,1
5,4,3,0.8,1
5,4,4,0.6,1
5,4,5,0.8,1
5,4,6,0.6,1
5,5,1,0.8,1
5,5,2,1,1
5,5,3,0.8,1
5,5,4,0.6,1
5,5,5,0.8,1
5,5,6,0.8,1
5,6,1,1,1
5,6,2,1,1
5,6,3,0.6,1
5,6,4,0.8,1
5,6,5,0.8,1
5,6,6,1,1
5,7,1,1,2
5,7,2,0.3076923076923077,1
5,7,3,1,1
5,7,4,0.5714285714285714,1
5,7,5,1,1
5,7,6,0.9166666666666666,0
5,8,1,1,2
5,8,2,1,1
5,8,3,0.8888888888888888,1
5,8,4,0.25,1
5,8,5,0.9090909090909091,1
5,8,6,0.875,0
5,9,1,1,1
5,9,2,0.7777777777777778,1
5,9,3,0.5,2
5,9,4,1,0
5,9,5,1,2
5,9,6,1,0
5,10,1,1,3
5,10,2,0.7692307692307693,1
5,10,3,1,0
5,10,4,0.8461538461538461,1
5,10,5,0.7333333333333333,1
5,10,6,1,0
6,1,1,0.8,1
6,1,2,0.8,1
6,1,3,0.8,1
6,1,4,1,1
6,1,5,0.8,1
6,1,6,1,1
6,2,1,1,1
6,2,2,0.8,1
6,2,3,1,1
6,2,4,0.8,1
6,2,5,1,1
6,2,6,1,1
6,3,1,1,1
6,3,2,0.8,1
6,3,3,0.8,1
6,3,4,0.8,1
6,3,5,0.8,1
6,3,6,1,1
6,4,1,0.8,1
6,4,2,0.6,1
6,4,3,0.4,1
6,4,4,0.8,1
6,4,5,1,1
6,4,6,1,1
6,5,1,0.8,1
6,5,2,0.8,1
6,5,3,0.8,1
6,5,4,1,1
6,5,5,0.8,1
6,5,6,1,1
6,6,1,1,1
6,6,2,0.8,1
6,6,3,0.8,1
6,6,4,0.8,1
6,6,5,0.8,1
6,6,6,0.8,1
6,7,1,1,2
6,7,2,0.3076923076923077,1
6,7,3,1,1
6,7,4,0.7142857142857143,1
6,7,5,0.8,1
6,7,6,1,0
6,8,1,1,2
6,8,2,0.875,1
6,8,3,0.8888888888888888,1
6,8,4,0.375,1
6,8,5,1,1
6,8,6,0.875,0
6,9,1,1,1
6,9,2,0.5555555555555556,1
6,9,3,1,2
6,9,4,0.75,0
6,9,5,1,2
6,9,6,0.9166666666666666,0
6,10,1,0.6,3
6,10,2,0.7692307692307693,1
6,10,3,0.5,0
6,10,4,1,1
6,10,5,1,1
6,10,6,0.7857142857142857,0
7,1,1,1,1
7,1,2,0.6,1
7,1,3,1,1
7,1,4,0.8,1
7,1,5,1,1
7,1,6,1,1
7,2,1,0.8,1
7,2,2,1,1
7,2,3,0.8,1
7,2,4,1,1
7,2,5,1,1
7,2,6,1,1
7,3,1,1,1
7,3,2,0.8,1
7,3,3,0.8,1
7,3,4,1,1
7,3,5,0.8,1
7,3,6,1,1
7,4,1,1,1
7,4,2,0.8,1
7,4,3,1,1
7,4,4,1,1
7,4,5,1,1
