u_id,section,n
5,1,36
5,2,36
5,3,36
5,4,36
5,5,36
5,6,36
5,7,36
5,8,36
5,9,36
5,10,36
6,1,36
6,2,36
6,3,36
6,4,36
6,5,36
6,6,36
6,7,36
6,8,36
6,9,36
6,10,36
7,1,36
7,2,36
7,3,36
7,4,35
7,5,35
7,6,35
7,7,36
7,8,36
7,9,36
7,10,36
8,1,36
8,2,36
8,3,36
9,1,36
9,2,35
9,3,36
9,4,36
9,5,36
9,6,35
9,7,36
9,8,36
9,9,36
9,10,36
15,1,36
15,2,36
15,3,36
15,4,36
15,5,36
15,6,30
15,7,35
16,1,36
16,2,36
16,3,36
16,4,36
16,5,36
16,6,36
16,7,36
16,8,36
26,1,36
26,2,36
26,3,36
26,4,36
26,5,36
26,6,36
26,7,36
26,8,36
26,9,36
26,10,36
28,1,36
28,2,36
28,3,36
28,4,36
28,5,36
28,6,36
28,7,36
28,8,36
28,9,36
28,10,36
30,1,36
30,2,36
30,3,36
30,4,36
30,5,36
30,6,36
30,7,36
30,8,36
30,9,36
30,10,36
34,1,36
34,2,36
34,3,36
34,4,36
34,5,36
34,6,36
34,7,36
34,8,36
34,9,36
34,10,36
41,1,36
41,2,36
41,3,36
41,4,35
48,1,36
48,2,36
48,3,36
48,4,36
48,5,36
48,6,36
48,7,36
49,1,36
49,2,36
49,3,36
49,4,36
49,5,36
49,6,18
51,1,36
51,2,36
51,3,36
52,1,36
52,2,36
52,3,36
52,4,36
52,5,36
55,1,36
55,2,36
55,3,36
55,4,36
55,5,36
55,6,36
59,1,36
59,2,36
61,1,36
61,2,36
61,3,36
61,4,36
61,5,36
61,6,36
61,7,36
61,8,36
61,9,36
61,10,36
62,1,36
62,2,36
62,3,36
62,4,36
62,5,36
62,6,12
73,1,36
73,2,36
77,1,36
77,2,36
77,3,36
77,4,36
77,5,36
77,6,36
77,7,36
77,8,36
77,9,36
78,1,36
78,2,36
78,3,36
78,4,36
78,5,36
78,6,36
78,7,36
78,8,36
78,9,36
78,10,36
79,1,36
79,2,36
79,3,36
79,4,36
79,5,36
79,6,36
79,7,12
81,1,36
81,2,36
81,3,35
81,4,36
81,5,36
81,6,36
81,7,36
82,1,36
82,2,36
82,3,35
82,4,35
82,5,36
82,6,36
82,7,35
82,8,36
82,9,36
82,10,36
85,1,36
85,2,36
85,3,36
85,4,24
87,1,36
87,2,36
87,3,36
87,4,36
87,5,36
87,6,36
87,7,36
87,8,36
87,9,36
87,10,36
90,1,36
90,2,36
90,3,36
90,4,36
90,5,36
90,6,36
90,7,35
90,8,36
90,9,36
90,10,36
91,1,36
91,2,36
91,3,36
91,4,36
91,5,36
91,6,36
91,7,36
91,8,36
93,1,36
93,2,36
93,3,36
93,4,18
99,1,36
99,2,36
99,3,36
99,4,36
99,5,36
99,6,36
99,7,36
99,8,36
100,1,36
100,2,36
100,3,36
100,4,30
100,5,30
100,6,36
100,7,36
100,8,36
100,9,24
102,1,36
102,2,36
102,3,36
102,4,35
102,5,36
102,6,36
102,7,36
102,8,36
108,1,36
108,2,36
108,3,36
108,4,36
108,5,30
108,6,36
108,7,36
108,8,36
108,9,36
108,10,36
110,1,36
110,2,36
110,3,30
111,1,36
111,2,36
111,3,36
111,4,36
111,5,36
111,6,36
111,7,36
111,8,36
111,9,36
111,10,36
112,1,36
112,2,36
112,3,36
112,4,36
112,5,30
119,1,36
119,2,30
119,3,36
119,4,36
119,5,36
119,6,36
119,7,36
119,8,36
119,9,36
119,10,36
121,1,36
121,2,36
121,3,36
121,4,36
121,5,36
122,1,36
122,2,36
122,3,36
122,4,36
122,5,36
125,1,36
125,2,36
125,3,36
125,4,36
125,5,36
125,6,18
127,1,36
127,2,36
127,3,36
127,4,36
127,5,36
127,6,36
127,7,35
127,8,36
130,1,36
130,2,36
130,3,35
130,4,36
130,5,36
130,6,36
130,7,36
131,1,36
131,2,36
131,3,36
131,4,36
131,5,35
131,6,36
131,7,24
132,1,36
132,2,36
132,3,36
132,4,36
132,5,36
132,6,36
132,7,36
132,8,36
132,9,36
132,10,36
141,1,36
141,2,36
141,3,36
141,4,36
141,5,36
147,1,36
147,2,36
147,3,35
147,4,36
147,5,36
147,6,36
147,7,36
147,8,6
149,1,36
149,2,36
151,1,36
151,2,35
151,3,36
151,4,36
151,5,36
151,6,36
151,7,35
151,8,36
151,9,36
151,10,36
153,1,36
153,2,36
153,3,36
153,4,36
153,5,36
153,6,36
157,1,36
157,2,36
157,3,36
157,4,36
157,5,35
157,6,36
157,7,36
157,8,35
157,9,36
157,10,35
160,1,36
160,2,36
160,3,36
160,4,36
160,5,36
160,6,36
160,7,36
162,1,36
162,2,36
162,3,36
162,4,36
162,5,36
162,6,35
162,7,6
165,1,36
165,2,36
165,3,36
165,4,36
167,1,36
167,2,36
167,3,36
167,4,36
167,5,24
173,1,36
173,2,36
173,3,36
173,4,36
173,5,36
173,6,36
173,7,36
173,8,36
173,9,36
173,10,36
179,1,36
179,2,36
179,3,36
179,4,36
179,5,35
179,6,36
179,7,36
185,1,36
185,2,36
185,3,36
185,4,36
185,5,36
190,1,36
190,2,36
190,3,36
190,4,36
190,5,36
190,6,35
191,1,36
191,2,36
191,3,36
191,4,36
191,5,12
192,1,36
192,2,36
192,3,36
192,4,36
192,5,36
192,6,36
192,7,30
192,8,36
192,9,36
192,10,36
197,1,36
197,2,36
197,3,36
197,4,18
200,1,36
200,2,36
200,3,36
200,4,36
200,5,36
202,1,36
202,2,36
202,3,36
207,1,36
207,2,36
207,3,36
207,4,36
207,5,35
207,6,36
207,7,36
207,8,36
207,9,12
209,1,36
209,2,36
209,3,36
209,4,24
210,1,36
210,2,36
210,3,36
211,1,36
211,2,36
211,3,36
211,4,36
211,5,36
211,6,35
211,7,36
213,1,36
213,2,36
213,3,12
214,1,36
214,2,36
214,3,36
214,4,36
214,5,36
214,6,36
214,7,36
214,8,36
214,9,36
214,10,36
223,1,36
223,2,36
223,3,36
223,4,36
223,5,36
223,6,36
223,7,36
223,8,36
223,9,36
223,10,36
225,1,36
225,2,36
225,3,36
232,1,36
232,2,36
232,3,36
232,4,36
232,5,36
232,6,36
232,7,36
233,1,36
233,2,36
233,3,36
233,4,36
233,5,36
233,6,36
239,1,36
239,2,36
239,3,36
242,1,36
242,2,36
242,3,36
242,4,36
242,5,36
242,6,36
242,7,36
242,8,36
242,9,36
243,1,36
243,2,36
249,1,36
249,2,36
249,3,36
249,4,36
249,5,36
249,6,36
249,7,36
249,8,36
250,1,36
250,2,36
250,3,36
250,4,36
250,5,36
250,6,30
252,1,36
252,2,36
252,3,36
252,4,36
252,5,36
252,6,36
252,7,36
252,8,36
252,9,6
254,1,36
254,2,36
254,3,36
254,4,36
254,5,36
258,1,36
258,2,36
258,3,36
258,4,36
258,5,36
258,6,36
258,7,36
258,8,36
258,9,36
258,10,36
261,1,36
261,2,36
261,3,36
261,4,30
261,5,35
261,6,36
261,7,36
261,8,36
261,9,36
261,10,36
262,1,36
262,2,36
262,3,36
262,4,36
262,5,36
265,1,36
265,2,36
265,3,36
265,4,36
265,5,36
265,6,36
265,7,36
265,8,36
266,1,36
266,2,36
266,3,36
266,4,36
266,5,36
266,6,36
266,7,36
266,8,36
266,9,36
266,10,36
268,1,36
268,2,36
268,3,36
268,4,36
268,5,36
268,6,36
268,7,36
268,8,36
271,1,36
271,2,36
271,3,36
271,4,36
271,5,36
271,6,36
271,7,36
271,8,36
271,9,36
271,10,36
273,1,36
273,2,36
273,3,36
273,4,36
273,5,36
273,6,36
274,1,36
274,2,36
274,3,36
274,4,36
274,5,36
274,6,36
274,7,36
274,8,36
274,9,36
276,1,36
276,2,36
276,3,36
276,4,36
276,5,36
276,6,36
276,7,36
276,8,36
276,9,36
276,10,36
280,1,36
280,2,35
280,3,36
280,4,36
280,5,36
280,6,36
280,7,36
280,8,36
280,9,36
280,10,36
282,1,36
282,2,36
282,3,36
283,1,36
283,2,36
283,3,36
283,4,36
283,5,36
283,6,36
283,7,36
283,8,36
283,9,36
283,10,36
284,1,36
284,2,36
284,3,35
284,4,36
284,5,36
285,1,36
285,2,36
285,3,36
285,4,36
285,5,36
285,6,35
285,7,35
285,8,35
291,1,36
291,2,36
291,3,36
291,4,36
291,5,36
292,1,36
292,2,36
292,3,36
295,1,36
295,2,36
295,3,36
295,4,36
295,5,36
295,6,36
295,7,36
296,1,36
296,2,36
296,3,36
296,4,36
296,5,36
296,6,35
296,7,36
296,8,36
296,9,36
296,10,36
298,1,36
298,2,36
298,3,36
298,4,36
298,5,36
298,6,36
298,7,36
298,8,36
298,9,36
298,10,30
304,1,36
304,2,36
304,3,36
304,4,36
304,5,36
304,6,36
304,7,36
304,8,36
304,9,30
304,10,30
306,1,36
306,2,36
306,3,36
306,4,36
306,5,36
306,6,36
309,1,36
309,2,36
309,3,36
309,4,36
309,5,36
309,6,36
309,7,36
309,8,36
310,1,36
310,2,36
310,3,36
310,4,36
310,5,36
312,1,36
312,2,34
312,3,35
312,4,36
312,5,35
312,6,36
312,7,35
315,1,36
315,2,36
315,3,36
315,4,36
315,5,36
315,6,36
315,7,36
315,8,36
315,9,36
315,10,24
317,1,36
317,2,36
317,3,36
317,4,36
317,5,36
317,6,36
317,7,36
317,8,36
317,9,6
318,1,36
318,2,36
318,3,36
318,4,36
318,5,36
318,6,36
318,7,36
320,1,6
320,2,36
320,3,36
323,1,36
323,2,36
323,3,36
323,4,36
323,5,36
323,6,36
329,1,36
329,2,36
329,3,36
329,4,36
329,5,36
329,6,12
337,1,36
337,2,30
337,3,36
337,4,36
337,5,36
337,6,36
337,7,36
337,8,18
341,1,36
341,2,36
350,1,36
350,2,36
350,3,36
350,4,36
350,5,35
350,6,36
350,7,36
350,8,36
350,9,36
350,10,36
351,1,36
351,2,36
351,3,36
351,4,36
351,5,36
351,6,36
351,7,36
351,8,36
351,9,36
351,10,36
352,1,36
352,2,36
352,3,18
354,1,36
354,2,36
354,3,36
354,4,36
354,5,36
354,6,36
354,7,36
354,8,36
354,9,36
354,10,36
356,1,36
356,2,36
356,3,36
356,4,36
356,5,36
356,6,36
356,7,36
356,8,36
356,9,36
356,10,35
2001,1,36
2001,2,36
2001,3,36
2001,4,36
2002,1,36
2002,2,36
2002,3,36
2002,4,35
2002,5,36
2002,6,36
2002,7,36
2002,8,35
2002,9,36
2002,10,36
