u_id,mode,survey,age,color,country,current_degree,data_ana,data_ana_text,dpt,english,highest_degree,sex,us_age,mode_description
79,4,pre,29,No,South Korea,Masters,3,I have conducted data analysis for my thesis during my master's program. ,"Teaching, Learning and Culture",No,Bachelors,Female,2,Clickable & meter with high limit
16,4,pre,20,No,United States,Junior,2,I have coded using R in statistics and analyzed data in my first stats class. I have also analyzed data in my chemistry labs. ,Mathematics,Yes,High School,Female,20,Clickable & meter with high limit
55,4,pre,20,No,United States,Sophomore,2,I am currently taking a Statistics 303 course. ,Wildlife and Fisheries ,Yes,High School,Male,20,Clickable & meter with high limit
125,4,pre,22,No,United States of America,Junior,4,I analyze and reduce my own experimental data in a lab setting using a variety of methods and software.,Biochemistry and Biophysics,Yes,Bachelors,Male,22,Clickable & meter with high limit
207,4,pre,22,No,United States,Senior,2,"Over the course of the last year, I worked as a research assistant in a lab. I have some experience in collecting data and analyzing it in a research setting. ",Psychology,Yes,High School,Female,22,Clickable & meter with high limit
8,4,pre,21,No,US,Senior,3,I am a research assistant in a neuropsychology lab which uses a significant amount of data analysis,English,Yes,High School,Female,21,Clickable & meter with high limit
85,4,pre,20,No,Peru,Sophomore,2,The experience comes from some ISEN classes I've taken.,Industrial & Systems Engineering (ISEN),No,High School,Male,4,Clickable & meter with high limit
93,4,pre,25,No,USA,Senior,1,I don't have any experience.,Chemical Engineering,Yes,High School,Male,25,Clickable & meter with high limit
131,4,pre,21,No,United States,Junior,1,Beyond a statistics class I have done very little numerical data analysis.,Nutrition and Food Science,Yes,High School,Female,21,Clickable & meter with high limit
7,4,pre,22,No,United States,Senior,3,"Worked in data entry, haven't done much data analysis outside of school.",Electrical Engineering,Yes,High School,Male,22,Clickable & meter with high limit
82,3,pre,26,No,India,Masters,3,,INFO,Yes,Bachelors,Female,,Clickable & meter with no limit
9,3,pre,20,No,USA,Senior,3,"working with spreadsheets, have taken a statistics class before",Biomedical Sciences,Yes,High School,Female,20,Clickable & meter with no limit
132,3,pre,19,No,USA,Freshman,1,I have no experience in this,International Studies,Yes,High School,Female,19,Clickable & meter with no limit
179,3,pre,18,No,USA,Freshman,1,,International Studies,Yes,High School,Female,18,Clickable & meter with no limit
110,3,pre,21,No,USA,Junior,1,,Engineering,No,High School,Female,7,Clickable & meter with no limit
78,3,pre,20,No,United States,Junior,2,some data interpretation in political science classes ,Political Science ,Yes,High School,Female,,Clickable & meter with no limit
61,3,pre,19,No,United States,Sophomore,1,I'm an English major because I don't enjoy working with numbers.,English,Yes,High School,Female,19,Clickable & meter with no limit
111,3,pre,24,No,India,Masters,3,I have taken some Data Analysis classes and done a couple of projects in the domain.,Computer Science and Engineering,No,Bachelors,Male,0,Clickable & meter with no limit
127,3,pre,20,No,United States,Sophomore,1,,Business,Yes,Bachelors,Male,20,Clickable & meter with no limit
271,5,pre,21,No,United States,Senior,3,"Over the summer, I participated in a paid internship where one of my duties was to input patient data into a hospital-wide database that could be used by physicians.",Biomedical Sciences,Yes,High School,Female,21,Clickable & meter wih limit
296,2,pre,21,No,United States,Junior,2,Currently taking POLS-309 which is a statistics based class. I have also taken POLS-209 which is an introductory course.,Political Science,Yes,High School,Male,21,Clickable w/out meter
295,2,pre,20,No,Nigeria,Junior,1,,Engineering,Yes,High School,Female,2,Clickable w/out meter
306,5,pre,27,No,India,Masters,4,"I have industrial experience in Business Intelligence and building Data warehouses. Thus, dealt with data a lot.",Information and Operations,No,Bachelors,Female,1,Clickable & meter wih limit
185,2,pre,22,No,United States,Senior,3,"Since I am a biochemistry major, I am required to work in a lab for a period of time in order to graduate. The lab I worked in for two years had me doing a lot of data analysis of charts and raw numbers. ",Biochemistry & Biophysics,Yes,High School,Female,22,Clickable w/out meter
350,5,pre,23,No,US,Senior,3,I previously worked in a position where we collected statistical data on programs we put on.,Science,Yes,High School,Female,23,Clickable & meter wih limit
291,2,pre,19,No,US Virgin Islands,Sophomore,2,I have only had some data analysis experience when studying in different mathematics courses.,Chemical Engineering,Yes,High School,Female,19,Clickable w/out meter
