uid,type,value,timestamp,extra
79,session_start,1522695516,1522695516,source:server|ustudy_budget:moderate|ustudy_mode:4
79,session_start,1522695520,1522695520,source:server|ustudy_budget:moderate|ustudy_mode:4
79,session_start,1522695532,1522695532,source:server|ustudy_budget:moderate|ustudy_mode:4
79,session_start,1522695540,1522695540,source:server|ustudy_budget:moderate|ustudy_mode:4
79,practice_answer,q5a1,1522697231,url:/tutorial/rl/id_1
79,answer,q2a6,1522697187767,
79,answer,q5a1,1522697211221,
79,practice_answer,q2a6,1522697231,url:/tutorial/rl/id_1
79,jumping,/tutorial/rl/id_1,1522697237,url:/tutorial/rl/id_1
79,final_answer,q2a6,1522697237,url:/tutorial/rl/id_1
79,final_answer,q5a1,1522697237,url:/tutorial/rl/id_1
79,answer,q7a6,1522697275892,
79,answer,q9a6,1522697286818,
79,answer,q7a1,1522697287651,
79,practice_answer,q7a1,1522697303,url:/tutorial/rl/id_3
79,practice_answer,q9a6,1522697303,url:/tutorial/rl/id_3
79,jumping,/tutorial/rl/id_3,1522697316,url:/tutorial/rl/id_3
79,final_answer,q7a1,1522697316,url:/tutorial/rl/id_3
79,final_answer,q9a6,1522697316,url:/tutorial/rl/id_3
79,answer,q12a1,1522697338004,
79,answer,q11a6,1522697345275,
79,practice_answer,q12a1,1522697347,url:/tutorial/rl/twin
79,practice_answer,q11a6,1522697347,url:/tutorial/rl/twin
79,jumping,/tutorial/rl/twin,1522697349,url:/tutorial/rl/twin
79,final_answer,q12a1,1522697349,url:/tutorial/rl/twin
79,final_answer,q11a6,1522697349,url:/tutorial/rl/twin
79,answer,q15a1,1522697377352,
79,answer,q16a6,1522697386878,
79,practice_answer,q15a1,1522697388,url:/tutorial/rl/dup
79,practice_answer,q16a6,1522697388,url:/tutorial/rl/dup
79,jumping,/tutorial/rl/dup,1522697390,url:/tutorial/rl/dup
79,final_answer,q15a1,1522697390,url:/tutorial/rl/dup
79,final_answer,q16a6,1522697390,url:/tutorial/rl/dup
79,practice_answer,q18a6,1522697409,url:/tutorial/rl/missing
79,answer,q17a1,1522697403248,
79,answer,q18a6,1522697408198,
79,practice_answer,q17a1,1522697409,url:/tutorial/rl/missing
79,jumping,/tutorial/rl/missing,1522697411,url:/tutorial/rl/missing
79,final_answer,q17a1,1522697411,url:/tutorial/rl/missing
79,final_answer,q18a6,1522697411,url:/tutorial/rl/missing
79,answer,q19a6,1522697426199,
